,,,,,,,,,Response,Response,Response,Response,Please list all that apply.,Response,Response,Open-Ended Response,Open-Ended Response,Response,Response,Response,Response,Open-Ended Response,Response,Response,Response,Response,Response,Response,Response,Open-Ended Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
114434421891,427833415,2023-10-11 13:19:28,2023-10-11 13:31:51,76.17.98.41,,,,,55-64,Prefer not to answer,Prefer not to answer,Prefer not to answer,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30060,No,No,Yes,Sometimes,This is a good question. I participate when I have the time to be educated about a subject and to reach out. Sometimes I miss government things because I'm busy with life.,Yes,No,Yes,Yes,Yes,Yes,Local,"Issues concerning government are 1) taxes 2) safety 3) government should only speak truth, whole truth, nothing but truth",Yes,No,No,I can name all of them,Sometimes,Sometimes,Sometimes,Rarely,Sometimes
114434388206,427833415,2023-10-11 12:35:49,2023-10-11 12:58:23,96.67.116.185,,,,,55-64,Female,Prefer not to answer,Prefer not to answer,,Employed full-time,Master’s degree,Cobb,30060,Yes,Yes,Yes,Often,Whether they're woke or not.,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Safety, Freedom, Economy",Yes,Yes,No,I can name all of them,Often,Often,Sometimes,Sometimes,Often
114433585429,427833415,2023-10-10 17:32:26,2023-10-10 17:34:27,107.115.108.60,,,,,25-34,Male,Yes,White,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30060,No,Yes,Yes,Sometimes,If I feel there is actual listening,Yes,Yes,Yes,Yes,Yes,Yes,Local,Public safety  Transportation  Government transparency ,Yes,No,No,I can name some of them,Often,Sometimes,Sometimes,Rarely,Often
114482482190,427833415,2023-12-06 19:50:35,2023-12-06 19:57:34,24.125.188.230,,,,,45-54,Prefer not to answer,Prefer not to answer,Prefer not to answer,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30062,No,No,No,Often,Time.,Yes,Yes,Yes,Yes,Yes,Yes,State,"Taxes, mental health overstep, blatant overspending on erroneous ""pet"" issues.",Yes,Yes,No,I can name all of them,Often,Sometimes,Sometimes,Never,Often
114463726089,427833415,2023-11-14 16:02:42,2023-11-14 16:08:48,12.162.193.219,,,,,55-64,Female,No,White,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30062,No,Yes,Yes,Sometimes,Awareness/education on the topic; topics pertaining to education and social Justice matter to me,Yes,Yes,Yes,Yes,Yes,Yes,Local,The disfunction of the Cobb County School board; no live/work/play communities; blighted/run down shopping centers/land use,Yes,No,Yes,I can name all of them,Rarely,Sometimes,Rarely,Sometimes,Sometimes
114438286822,427833415,2023-10-16 17:23:26,2023-10-16 17:29:08,174.209.205.246,,,,,65+,Female,No,White,,Retired,Bachelor’s (4-year) degree,Cobb,30062,No,Yes,Yes,Sometimes,Relevance,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Crime  Weeds  Too many foreign investors turning neighborhoods into rentals that the investors get tax credits, write-offs, do not maintain yards and properties, diminishes single family homeowners properties.",Yes,No,No,I can name all of them,Sometimes,Sometimes,Sometimes,Rarely,Often
114437224193,427833415,2023-10-15 10:48:40,2023-10-15 10:51:53,172.56.70.8,,,,,55-64,Female,No,White,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30062,No,No,Yes,Sometimes,"Time commitment, personal interest",Yes,Yes,Yes,Yes,Yes,Yes,Local,"Income disparities,  housing, book bans",No,No,No,I can name all of them,Sometimes,Sometimes,Sometimes,Rarely,Never
114435527153,427833415,2023-10-12 16:08:28,2023-10-12 16:12:51,73.43.24.255,,,,,65+,Female,No,White,,Retired,Bachelor’s (4-year) degree,Cobb,30062,Yes,Yes,No,Rarely,"Location of the discussion, the topic, and how important the topic is to me.",Yes,Yes,Yes,Yes,Yes,Yes,State,"Affordable Housing, traffic, healthcare",Yes,No,No,I can name some of them,Rarely,Sometimes,Sometimes,Rarely,Rarely
114434489682,427833415,2023-10-11 14:38:18,2023-10-11 14:42:53,76.213.136.82,,,,,45-54,Female,No,White,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30062,No,No,Yes,Sometimes,Time constraints usually keep me from attending town halls or forums,Yes,Yes,Yes,Yes,Yes,Yes,Local,School Board intransigence. Transportation - there isn’t any in East cobb  Commercial zoning issues  ,No,No,No,I can name all of them,Sometimes,Rarely,Rarely,Never,Sometimes
114434465565,427833415,2023-10-11 14:10:23,2023-10-11 14:16:47,73.43.24.230,,,,,55-64,Female,No,White,,Retired,Master’s degree,Cobb,30062,No,No,Yes,Often,depends,Yes,Yes,Yes,Yes,Yes,Yes,Local,over reach by county commissioners,No,No,No,I can name all of them,Rarely,Sometimes,Rarely,Sometimes,Sometimes
114434465486,427833415,2023-10-11 14:10:51,2023-10-11 14:16:42,107.128.191.50,,,,,65+,Male,No,White,,Retired,Bachelor’s (4-year) degree,Cobb,30062,No,Yes,Yes,Rarely,"Relevance - issues affecting schools, political districting",Yes,Yes,Yes,Yes,Yes,Yes,State,"Redistricting, far-right conservatism, placing politics before community",Yes,No,No,I only know 1 or 2,Rarely,Rarely,Rarely,Sometimes,Sometimes
114432771387,427833415,2023-10-09 22:06:18,2023-10-09 22:10:05,73.184.209.116,,,,,55-64,Female,No,White,,Employed full-time,Doctorate degree,Cobb,30062,No,No,Yes,Sometimes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,State,Risk to Democracy. White Supremacy. Right wing terrorists. ,No,No,No,I only know 1 or 2,Rarely,Sometimes,Sometimes,Sometimes,Sometimes
114432141350,427833415,2023-10-09 08:03:49,2023-10-09 08:12:15,68.184.98.8,,,,,65+,Female,No,Black or African-American,,Retired,Master’s degree,Cobb,30062,Yes,Yes,Yes,Sometimes,"Specific issues, availability, activity participants & knowledgeable leadership/representatives",Yes,Yes,Yes,Yes,Yes,Yes,State,Quality education  Affordable healthcare  Affordable housing ,Yes,No,No,I can name some of them,Often,Often,Sometimes,Sometimes,Sometimes
114431705382,427833415,2023-10-08 11:43:52,2023-10-08 11:52:15,73.82.180.81,,,,,35-44,Female,Yes,White,,Employed part-time,Master’s degree,United States,30062,Yes,Yes,Yes,Sometimes,"Whether or not it's boring. Not enough ethic, gender, socioeconomic, age, and religious diversity. Whether or not I see how it will make an impact.",Yes,Yes,Yes,Yes,Yes,Unsure / Don’t know,Local,"Wealth inequality, politicians abusing the pillars of democracy, misinformation and propaganda on the Right.",No,No,No,I can name some of them,Rarely,Never,Rarely,Never,Rarely
114431703958,427833415,2023-10-08 11:38:20,2023-10-08 11:41:46,73.82.180.81,,,,,35-44,Male,No,White,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30062,No,No,Yes,Sometimes,Not sure how to best help. Time constraints. Feeling like my efforts have an impact.,Yes,Yes,Yes,Yes,Yes,Yes,State,Housing costs  Income inequality  Cost of healthcare,No,No,No,I don't know any of them,Never,Never,Don't Know,Sometimes,Never
114431380440,427833415,2023-10-07 16:29:26,2023-10-07 16:40:22,99.166.106.75,,,,,45-54,Female,No,White,,Unemployed,Bachelor’s (4-year) degree,Cobb,30062,No,No,Yes,Often,Usually time,Yes,Yes,Yes,Yes,Yes,No,State,"Inflation (rising costs), growth (traffic, infrastructure), education.",Yes,No,No,I can name some of them,Rarely,Rarely,Sometimes,Rarely,Rarely
114423199097,427833415,2023-09-27 19:41:55,2023-09-27 19:48:45,107.139.197.205,,,,,65+,Female,No,White,,Employed part-time,Associate (2-year) degree,Cobb,30062,No,Yes,Yes,Often,Depends on the date,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Education equity, food security, healthcare ",Yes,No,No,I can name all of them,Sometimes,Rarely,Sometimes,Rarely,Sometimes
114423171373,427833415,2023-09-27 18:50:12,2023-09-27 18:53:30,76.213.136.82,,,,,45-54,Female,No,White,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30062,No,No,Yes,Rarely,"not knowledgeable enough on issues, not enough time",Yes,Yes,Yes,Yes,Yes,Yes,Local,Equity in education and county governance,No,No,No,I only know 1 or 2,Rarely,Rarely,Never,Rarely,Rarely
114423164128,427833415,2023-09-27 18:35:39,2023-09-27 18:39:49,73.43.24.255,,,,,65+,Female,No,White,,Retired,Bachelor’s (4-year) degree,Cobb,30062,Yes,Yes,Yes,Sometimes,"Topics presented, who’s sponsoring, time",Yes,Yes,Yes,Yes,Yes,Yes,State,"Affordable Housing, food costs, access to abortion care",No,No,No,I can name some of them,Rarely,Sometimes,Sometimes,Rarely,Rarely
114481012302,427833415,2023-12-05 12:27:01,2023-12-05 12:31:04,130.218.12.1,,,,,18-24,Male,No,White,,Employed part-time,Associate (2-year) degree,Cobb,30064,Yes,Yes,Yes,Rarely,"School work, work work, and family work determine my time and level of exhaustion",Yes,Yes,Yes,Yes,Yes,Yes,Local,"Economic development, increasing cost of housing (prohibitively expensive), and infrastructure.",Yes,No,No,I can name some of them,Never,Never,Rarely,Never,Sometimes
114457190868,427833415,2023-11-07 09:51:49,2023-11-07 09:55:35,107.123.33.15,,,,,35-44,Female,No,Black or African-American,,Employed full-time,Master’s degree,Cobb,30064,No,No,Yes,Never,Schedule- working full time with 2 kids,Yes,Yes,Yes,Yes,Yes,Yes,State,Inflation and job loss,No,No,Yes,I can name some of them,Never,Don't Know,Rarely,Sometimes,Never
114439419412,427833415,2023-10-17 19:27:49,2023-10-17 19:34:43,172.56.66.193,,,,,55-64,Female,No,White,,Employed part-time,Bachelor’s (4-year) degree,Cobb,30064,Yes,Yes,Yes,Sometimes,"Mostly topic, location, timing impact my decision.",Yes,Yes,Yes,Yes,Yes,Yes,Local,"Underpaid & stressed working class, corruption in government, corporate greed",No,No,No,I can name some of them,Rarely,Sometimes,Sometimes,Sometimes,Sometimes
114439386291,427833415,2023-10-17 18:32:46,2023-10-17 18:35:44,24.125.43.176,,,,,65+,Male,No,White,,Retired,Master’s degree,Cobb,30064,Yes,Yes,Yes,Often,interest areas and needs,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Affordable housing, radical school board decisions",Yes,Yes,No,I can name all of them,Often,Sometimes,Sometimes,Rarely,Sometimes
114438431528,427833415,2023-10-16 20:58:05,2023-10-16 21:03:49,186.233.186.72,,,,,65+,Female,No,White,,Retired,Master’s degree,Cobb,30064,Yes,No,Yes,Often,The desire to make our community responsive to the needs of all of our citizens.,Yes,Yes,Yes,Yes,Yes,Yes,State,"Affordable Housing/Tenant Rights  Affordable Healthcare for ALL/Expand Medicaid  Reverse the erosion of rights (LGBTQ+, access to reproductive rights, etc.)",Yes,No,No,I can name all of them,Often,Sometimes,Rarely,Rarely,Sometimes
114437298618,427833415,2023-10-15 14:31:43,2023-10-15 14:36:20,99.184.23.126,,,,,65+,Male,Prefer not to answer,Prefer not to answer,,Employed part-time,"Some college, no degree",Cobb,30064,No,Yes,Yes,Often,If I see the policy going off the rails,Yes,Yes,Yes,Yes,Yes,Yes,Local,Forced urbanization  Wasted tax dollars  Inefficient mass tranportation,Yes,No,No,I can name all of them,Often,Rarely,Rarely,Never,Often
114434706610,427833415,2023-10-11 19:15:09,2023-10-11 19:24:44,99.87.246.249,,,,,65+,Female,No,White,,Retired,Bachelor’s (4-year) degree,Cobb,30064,Yes,Yes,Yes,Sometimes,If the decision will affect me one way or another,Yes,Yes,Yes,Yes,Yes,Yes,Local,Cost of living   Schools not sticking to the three R’s. Stick to the basics.   Crime  ,Yes,No,No,I can name all of them,Sometimes,Rarely,Sometimes,Rarely,Sometimes
114472495100,427833415,2023-11-26 08:20:04,2023-11-26 08:25:33,187.157.183.93,,,,,45-54,Female,No,Other,,Employed full-time,Doctorate degree,Cobb,30066,No,No,No,Rarely,The cause,Yes,Yes,Yes,Yes,Yes,Yes,Local,Economic equality Financial literacy Educational reform,Yes,Yes,No,I only know 1 or 2,Rarely,Rarely,Sometimes,Sometimes,Rarely
114444410605,427833415,2023-10-23 18:36:46,2023-10-23 18:40:36,70.250.72.160,,,,,35-44,Male,No,White,,Employed full-time,Associate (2-year) degree,Cobb,30066,Yes,No,Yes,Often,I want to see my community thrive and be resilient.,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Eliminating exclusionary zoning, removing parking minimums, building a culture of walking and bicycling",Yes,No,No,I can name all of them,Sometimes,Often,Rarely,Sometimes,Often
114437590797,427833415,2023-10-16 04:01:54,2023-10-16 04:11:37,98.62.100.235,,,,,55-64,Female,Yes,Black or African-American,,Employed full-time,"Some college, no degree",Cobb,30066,No,No,Yes,Sometimes,Missed,Yes,Yes,Yes,Yes,Yes,Yes,Federal,"Taxing,  rise price of food, education ",No,Yes,Yes,I only know 1 or 2,Rarely,Rarely,Don't Know,Don't Know,Never
114436800866,427833415,2023-10-14 09:46:10,2023-10-14 09:49:44,76.145.174.83,,,,,45-54,Female,No,White,,Employed full-time,Doctorate degree,Cobb,30066,Yes,Yes,Yes,Sometimes,My mental health status and time availability,Yes,Yes,Yes,Yes,Yes,Yes,State,Educational equity  Workers rights and thriving wage  Reproductive freedom,Yes,No,No,I can name all of them,Sometimes,Rarely,Rarely,Never,Sometimes
114434921573,427833415,2023-10-12 02:46:48,2023-10-12 02:50:14,172.126.145.228,,,,,45-54,Male,Yes,White,,Employed full-time,"Some college, no degree",Cobb,30066,Yes,No,Yes,Often,That I care deeply about people and the community that I live in. I also am fortunate to be able to work for myself and have the time to do these efforts.,Yes,Yes,Yes,Yes,Yes,Yes,Local,Public education  Reducing gun violence  Redistricting reform to move our politics away from the extremes,Yes,No,No,I can name all of them,Sometimes,Rarely,Never,Rarely,Sometimes
114433798251,427833415,2023-10-10 23:28:36,2023-10-10 23:39:56,99.166.97.217,,,,,55-64,Female,No,White,,Retired,Master’s degree,Cobb,30066,No,No,No,Sometimes,"Time, location, importsnce",Yes,Yes,Yes,Yes,Yes,Yes,State,"Public education, women’s issues, racial and gender acceptance",Yes,Yes,No,I can name some of them,Never,Never,Never,Rarely,Rarely
114431757412,427833415,2023-10-08 14:20:39,2023-10-08 14:25:31,108.245.19.206,,,,,25-34,Female,No,White,,Employed part-time,Master’s degree,United States,30066,No,No,No,Rarely,"Don't have enough time, don't hear of activities to participate in",Yes,Yes,Yes,Yes,Yes,Yes,Local,"Housing availability and affordability, public transportation, educational programs",No,No,No,I only know 1 or 2,Never,Never,Never,Sometimes,Never
114439421719,427833415,2023-10-17 19:35:09,2023-10-17 19:39:08,108.201.123.91,,,,,45-54,Male,No,Black or African-American,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30067,No,No,Yes,Sometimes,Time and issues,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Economy, education and opportunities ",No,No,No,I can name some of them,Never,Never,Don't Know,Rarely,Rarely
114434429355,427833415,2023-10-11 13:29:57,2023-10-11 13:39:22,98.62.186.36,,,,,55-64,Male,No,White,,Employed full-time,"Some college, no degree",Cobb,30067,Yes,Yes,Yes,Sometimes,"Fighting against liberal, nonsensical policies",Yes,Yes,Yes,Yes,Yes,Yes,Local,"Liberal policies of the judges, commissioners, and board of education.",Yes,No,No,I can name all of them,Sometimes,Rarely,Sometimes,Rarely,Sometimes
114433080554,427833415,2023-10-10 08:25:08,2023-10-10 08:33:44,76.145.59.185,,,,,65+,Male,No,White,,Retired,Master’s degree,Cobb,30067,No,Yes,Yes,Sometimes,"not having enough time, travel, other commitments, not always aware of events",Yes,Yes,Yes,Yes,Yes,Yes,State,"the political divide, gerrymandering, vehicular traffic (and distracted driving), a school board that is not representative of the county",Yes,No,No,I can name all of them,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
114431018255,427833415,2023-10-06 22:32:53,2023-10-06 22:35:53,73.7.130.115,,,,,18-24,Prefer not to answer,Prefer not to answer,Black or African-American,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30067,No,No,Yes,Often,Time conflicts,Yes,Yes,No,Yes,Yes,Yes,Local,"Transit, housing, and road safety (adding sidewalks and bike lanes).",Yes,No,No,I can name some of them,Rarely,Rarely,Never,Don't Know,Sometimes
114423269738,427833415,2023-09-27 22:05:27,2023-09-27 22:14:42,69.130.105.7,,,,,65+,Male,No,White,,Retired,Master’s degree,Cobb,30067,No,Yes,Yes,Sometimes,Don't generally have enough time,Yes,Yes,Yes,Yes,Yes,Yes,State,"Housing costs for public servants, Education equity (and overt politics on the school board), and a growing political divide in the community.",Yes,No,Yes,I can name all of them,Sometimes,Sometimes,Often,Often,Rarely
114464390319,427833415,2023-11-15 09:50:18,2023-11-15 09:59:45,99.114.103.144,,,,,45-54,Female,Prefer not to answer,Prefer not to answer,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30068,Yes,Yes,Yes,Often,"Purpose of the group, to influence positive improvements to public policy, use my talents.",Yes,Yes,Yes,Yes,Yes,Yes,Local,"Reducing taxes, keeping housing density low, stopping MARTA expansion into Cobb.",Yes,No,No,I can name all of them,Sometimes,Rarely,Sometimes,Never,Often
114454870188,427833415,2023-11-04 15:16:11,2023-11-04 15:23:11,172.58.0.177,,,,,45-54,Male,No,Black or African-American,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30068,No,No,No,Sometimes,Location,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Economy, community development, education",Yes,Yes,No,I can name some of them,Rarely,Sometimes,Sometimes,Sometimes,Never
114439361165,427833415,2023-10-17 17:51:40,2023-10-17 17:55:46,99.47.123.124,,,,,55-64,Female,No,White,,Employed part-time,Bachelor’s (4-year) degree,Cobb,30068,No,No,No,Rarely,I've been busy,Yes,Yes,Yes,Yes,Yes,Yes,Federal,saving democracy   women's rights  voting rights ,Yes,Yes,No,I can name some of them,Never,Sometimes,Sometimes,Often,Never
114438410164,427833415,2023-10-16 20:25:34,2023-10-16 20:29:09,174.254.49.15,,,,,65+,Female,Yes,White,,Employed full-time,Master’s degree,Cobb,30068,Yes,Yes,Yes,Often,Voting Rights protections Environmental sustainability,Yes,Yes,Yes,Yes,Yes,Yes,Local,Voting rights  Environmental protection   Transportation planning,Yes,No,Yes,I can name all of them,Often,Often,Often,Sometimes,Often
114436142461,427833415,2023-10-13 10:23:40,2023-10-13 10:29:16,172.56.169.247,,,,,55-64,Female,No,White,,Retired,Master’s degree,Cobb,30068,Yes,Yes,Yes,Often,Time and focus,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Development, transportation, schools",Yes,No,No,I can name all of them,Sometimes,Sometimes,Sometimes,Rarely,Often
114431039373,427833415,2023-10-06 23:29:18,2023-10-06 23:31:07,73.43.24.175,,,,,18-24,Male,No,White,,Employed part-time,High school diploma or GED,United States,30068,No,No,Yes,Often,Tired of car dependent infrastructure in my county and want to bring services like MARTA and better bus service,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Transit, Housing/Homelessness, Schools",Yes,No,No,I can name some of them,Sometimes,Sometimes,Sometimes,Don't Know,Often
114435463443,427833415,2023-10-12 14:43:19,2023-10-12 14:57:05,99.157.98.53,,,,,45-54,Female,No,White,,Employed part-time,Master’s degree,Cobb,30075,No,Yes,Yes,Often,Whether the group promotes the need for active listening of various perspectives and whether the group honors the U.S. Constitution.,Yes,Yes,Yes,Yes,Yes,Yes,State,"Individual rights including free speech and personal bodily autonomy  Property rights  Abuse of power, including through use of emergency declarations",Yes,Yes,No,I can name all of them,Often,Often,Sometimes,Sometimes,Sometimes
114434674893,427833415,2023-10-11 18:20:27,2023-10-11 18:33:37,24.98.21.186,,,,,45-54,Female,No,White,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30075,No,No,No,Sometimes,"Time constraints (I work full-time and have three school-aged children, one of whom is having a lot of trouble adjusting to middle school and requires a lot of support)",Yes,Yes,Yes,Yes,Yes,Yes,Local,"School board dysfunction (Members pushing conspiracy theories, Democratic members not being allowed to have any say, etc)    Property taxes are growing faster than income    Politicians seem more interested in waging culture wars than actually putting forward legislation that will improve people’s lives",Yes,No,No,I can name all of them,Rarely,Sometimes,Sometimes,Never,Rarely
114431226283,427833415,2023-10-07 09:18:29,2023-10-07 09:21:45,98.251.12.71,,,,,45-54,Male,No,White,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30075,No,No,No,Never,No time,Yes,Yes,Yes,Yes,Yes,Yes,Federal,Inflation and boarder,No,No,No,I don't know any of them,Never,Never,Never,Never,Never
114430890240,427833415,2023-10-06 18:05:54,2023-10-06 18:13:02,76.240.26.26,,,,,65+,Female,No,White,,Retired,Master’s degree,Cobb,30075,Yes,Yes,Yes,Often,A policy that I feel is important plus the requesting organization appears to be well organized.,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Book bans, repression of Black history, repression of healthcare for women. ",Yes,No,No,I can name all of them,Sometimes,Sometimes,Rarely,Rarely,Often
114423737095,427833415,2023-09-28 11:27:24,2023-09-28 11:35:39,98.219.16.8,,,,,55-64,Male,No,Black or African-American,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30075,Yes,No,Yes,Sometimes,The organizations I participate in must align with my societal and political views. I manage two companies and my time is limited as I recover from COVID's financial strains.,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Education equity will always be number one.  Social services and support for those in the margins is a pressing concern when it pertains to abating crime and public safety.  I also believe the government should support small businesses with contracting opportunities, guidance, and relaxed regulations to ensure companies can be built and ultimately employ people.",Yes,Yes,No,I can name some of them,Sometimes,Sometimes,Sometimes,Sometimes,Often
114487408796,427833415,2023-12-12 20:07:06,2023-12-12 20:12:17,68.184.114.137,,,,,55-64,Female,No,White,,Employed full-time,"Some college, no degree",Cobb,30080,No,No,No,Often,If it has direct impact On my home,Yes,Yes,Yes,Yes,Yes,Yes,Local,Local development Integrity of elected officials Taxes,No,No,No,I can name all of them,Rarely,Rarely,Never,Rarely,Sometimes
114479177700,427833415,2023-12-03 23:08:48,2023-12-03 23:29:14,35.151.157.151,,,,,25-34,Male,No,White,,Employed full-time,Master’s degree,Cobb,30080,No,No,No,Often,"How much I know about the issue, how close it is to my home, how personally passionate I am about the cause.",Yes,Yes,No,Yes,Yes,Yes,Local,"Transit, affordable housing, and future development patterns.",Yes,No,Yes,I can name some of them,Rarely,Don't Know,Don't Know,Sometimes,Rarely
114457220818,427833415,2023-11-07 10:18:30,2023-11-07 10:23:24,76.214.122.248,,,,,65+,Female,No,Black or African-American,,Retired,Master’s degree,Cobb,30080,No,Yes,No,Often,Concern for my community,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Equity in housing, lowering of taxes, programs for seniors",Yes,Yes,No,I can name all of them,Rarely,Never,Rarely,Rarely,Rarely
